CODE,Lauren_says_minor,incident_group
111,FALSE,Homicide
112,FALSE,Homicide
113,FALSE,Homicide
114,FALSE,Homicide
121,FALSE,Homicide
122,FALSE,Homicide
123,FALSE,Homicide
124,FALSE,Homicide
125,FALSE,Homicide
211,FALSE,Sex Crime
212,FALSE,Sex Crime
213,FALSE,Sex Crime
222,FALSE,Sex Crime
223,FALSE,Sex Crime
224,FALSE,Sex Crime
230,FALSE,Sex Crime
231,FALSE,Sex Crime
232,FALSE,Sex Crime
233,FALSE,Sex Crime
234,FALSE,Sex Crime
235,FALSE,Sex Crime
236,FALSE,Sex Crime
237,FALSE,Sex Crime
241,FALSE,Sex Crime
242,FALSE,Sex Crime
243,FALSE,Sex Crime
244,FALSE,Sex Crime
251,FALSE,Sex Crime
252,FALSE,Sex Crime
253,FALSE,Sex Crime
254,FALSE,Sex Crime
261,FALSE,Sex Crime
271,FALSE,Sex Crime
301,FALSE,Robbery
302,FALSE,Robbery
303,FALSE,Robbery
304,FALSE,Robbery
305,FALSE,Robbery
306,FALSE,Robbery
307,FALSE,Robbery
308,FALSE,Robbery
309,FALSE,Robbery
310,FALSE,Robbery
311,FALSE,Robbery
312,FALSE,Robbery
313,FALSE,Robbery
314,FALSE,Robbery
315,FALSE,Robbery
316,FALSE,Robbery
317,FALSE,Robbery
318,FALSE,Robbery
319,FALSE,Robbery
320,FALSE,Robbery
321,FALSE,Robbery
322,FALSE,Robbery
323,FALSE,Robbery
324,FALSE,Robbery
333,FALSE,Robbery
334,FALSE,Robbery
335,FALSE,Robbery
336,FALSE,Robbery
337,FALSE,Robbery
338,FALSE,Robbery
339,FALSE,Robbery
340,FALSE,Robbery
341,FALSE,Robbery
342,FALSE,Robbery
343,FALSE,Robbery
344,FALSE,Robbery
345,FALSE,Robbery
346,FALSE,Robbery
347,FALSE,Robbery
348,FALSE,Robbery
349,FALSE,Robbery
350,FALSE,Robbery
351,FALSE,Robbery
352,FALSE,Robbery
353,FALSE,Robbery
354,FALSE,Robbery
355,FALSE,Robbery
356,FALSE,Robbery
357,FALSE,Robbery
358,FALSE,Robbery
359,FALSE,Robbery
360,FALSE,Robbery
361,FALSE,Robbery
362,FALSE,Robbery
363,FALSE,Robbery
364,FALSE,Robbery
371,FALSE,Robbery
373,FALSE,Robbery
374,FALSE,Robbery
375,FALSE,Robbery
376,FALSE,Robbery
377,FALSE,Robbery
378,FALSE,Robbery
379,FALSE,Robbery
380,FALSE,Robbery
381,FALSE,Robbery
401,FALSE,Assault/Battery
402,FALSE,Assault/Battery
403,FALSE,Assault/Battery
404,FALSE,Assault/Battery
411,FALSE,Assault/Battery
412,FALSE,Assault/Battery
413,FALSE,Assault/Battery
421,FALSE,Assault/Battery
